TIGRFAM,ROLE_ID,SubRole,MainRole
TIGR00764,138,"Degradation of proteins, peptides, and glycopeptides",Protein fate
TIGR00765,157,General,Unknown function
TIGR00766,134,Degradation of RNA,Transcription
TIGR00767,165,Transcription factors,Transcription
TIGR00769,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00770,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00771,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00773,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00774,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00775,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00776,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00777,96,Detoxification,Cellular processes
TIGR00778,157,General,Unknown function
TIGR00779,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00780,112,Electron transport,Energy metabolism
TIGR00781,112,Electron transport,Energy metabolism
TIGR00782,112,Electron transport,Energy metabolism
TIGR00783,185,Role category not yet assigned,Unclassified
TIGR00784,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00785,143,Anions,Transport and binding proteins
TIGR00785,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00786,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00787,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00788,88,Other,Cell envelope
TIGR00789,157,General,Unknown function
TIGR00790,143,Anions,Transport and binding proteins
TIGR00791,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00792,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00793,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00794,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00795,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00796,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00797,147,Other,Transport and binding proteins
TIGR00798,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00799,141,Unknown substrate,Transport and binding proteins
TIGR00800,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00801,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00802,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00804,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00806,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00807,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00808,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00809,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00810,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00811,147,Other,Transport and binding proteins
TIGR00813,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00814,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00815,143,Anions,Transport and binding proteins
TIGR00816,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00817,156,Conserved,Hypothetical proteins
TIGR00819,156,Conserved,Hypothetical proteins
TIGR00820,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00821,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00821,700,PTS,Signal transduction
TIGR00822,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00822,700,PTS,Signal transduction
TIGR00823,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00824,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00824,700,PTS,Signal transduction
TIGR00825,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00825,700,PTS,Signal transduction
TIGR00826,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00826,700,PTS,Signal transduction
TIGR00827,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00827,700,PTS,Signal transduction
TIGR00828,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00828,700,PTS,Signal transduction
TIGR00829,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00829,700,PTS,Signal transduction
TIGR00830,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00830,700,PTS,Signal transduction
TIGR00831,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00832,96,Detoxification,Cellular processes
TIGR00832,143,Anions,Transport and binding proteins
TIGR00833,141,Unknown substrate,Transport and binding proteins
TIGR00834,143,Anions,Transport and binding proteins
TIGR00836,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00837,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00838,73,Glutamate family,Amino acid biosynthesis
TIGR00839,109,Amino acids and amines,Energy metabolism
TIGR00840,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00841,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00842,147,Other,Transport and binding proteins
TIGR00843,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00844,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00845,147,Other,Transport and binding proteins
TIGR00846,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00847,112,Electron transport,Energy metabolism
TIGR00847,140,Protein modification and repair,Protein fate
TIGR00848,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00848,700,PTS,Signal transduction
TIGR00849,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00849,700,PTS,Signal transduction
TIGR00851,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00851,700,PTS,Signal transduction
TIGR00852,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00852,700,PTS,Signal transduction
TIGR00853,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00853,700,PTS,Signal transduction
TIGR00854,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00854,700,PTS,Signal transduction
TIGR00855,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00856,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00857,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00858,77,Biotin,"Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR00859,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00860,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00861,141,Unknown substrate,Transport and binding proteins
TIGR00862,143,Anions,Transport and binding proteins
TIGR00863,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00865,129,Other,Regulatory functions
TIGR00867,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00868,143,Anions,Transport and binding proteins
TIGR00869,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00870,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00871,117,Pentose phosphate pathway,Energy metabolism
TIGR00872,117,Pentose phosphate pathway,Energy metabolism
TIGR00873,117,Pentose phosphate pathway,Energy metabolism
TIGR00874,117,Pentose phosphate pathway,Energy metabolism
TIGR00875,117,Pentose phosphate pathway,Energy metabolism
TIGR00876,117,Pentose phosphate pathway,Energy metabolism
TIGR00877,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00878,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00879,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00881,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00882,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00883,141,Unknown substrate,Transport and binding proteins
TIGR00884,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00885,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00886,143,Anions,Transport and binding proteins
TIGR00887,143,Anions,Transport and binding proteins
TIGR00888,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00889,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00890,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00891,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00892,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00893,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00894,143,Anions,Transport and binding proteins
TIGR00895,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00896,147,Other,Transport and binding proteins
TIGR00897,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00898,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00899,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00900,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00901,149,Adaptations to atypical conditions,Cellular processes
TIGR00902,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00903,147,Other,Transport and binding proteins
TIGR00904,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR00905,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00906,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00907,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00908,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00909,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00910,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00911,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00912,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00913,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00914,96,Detoxification,Cellular processes
TIGR00914,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00915,94,Toxin production and resistance,Cellular processes
TIGR00915,141,Unknown substrate,Transport and binding proteins
TIGR00916,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00917,147,Other,Transport and binding proteins
TIGR00920,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00921,141,Unknown substrate,Transport and binding proteins
TIGR00922,165,Transcription factors,Transcription
TIGR00924,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00926,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00927,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00928,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR00930,147,Other,Transport and binding proteins
TIGR00931,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00932,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00933,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00934,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00935,96,Detoxification,Cellular processes
TIGR00935,147,Other,Transport and binding proteins
TIGR00936,109,Amino acids and amines,Energy metabolism
TIGR00937,143,Anions,Transport and binding proteins
TIGR00938,71,Aspartate family,Amino acid biosynthesis
TIGR00939,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00940,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00941,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00942,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00943,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00944,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR00945,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00946,147,Other,Transport and binding proteins
TIGR00947,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00948,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00949,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00950,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00951,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00952,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00954,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR00955,147,Other,Transport and binding proteins
TIGR00956,147,Other,Transport and binding proteins
TIGR00957,147,Other,Transport and binding proteins
TIGR00958,147,Other,Transport and binding proteins
TIGR00959,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00962,111,ATP-proton motive force interconversion,Energy metabolism
TIGR00963,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00964,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00965,71,Aspartate family,Amino acid biosynthesis
TIGR00966,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00967,97,Protein and peptide secretion and trafficking,Protein fate
TIGR00968,143,Anions,Transport and binding proteins
TIGR00969,143,Anions,Transport and binding proteins
TIGR00970,74,Pyruvate family,Amino acid biosynthesis
TIGR00971,143,Anions,Transport and binding proteins
TIGR00972,143,Anions,Transport and binding proteins
TIGR00973,74,Pyruvate family,Amino acid biosynthesis
TIGR00974,143,Anions,Transport and binding proteins
TIGR00975,143,Anions,Transport and binding proteins
TIGR00976,703,Enzymes of unknown specificity,Unknown function
TIGR00977,157,General,Unknown function
TIGR00978,71,Aspartate family,Amino acid biosynthesis
TIGR00979,120,TCA cycle,Energy metabolism
TIGR00980,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00981,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00982,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR00983,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00984,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00985,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00986,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00987,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00988,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR00989,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00990,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00991,146,"Nucleosides, purines and pyrimidines",Transport and binding proteins
TIGR00992,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00993,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00994,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00995,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR00996,187,Pathogenesis,Cellular processes
TIGR00997,93,Cell division,Cellular processes
TIGR00998,147,Other,Transport and binding proteins
TIGR00999,147,Other,Transport and binding proteins
TIGR01000,147,Other,Transport and binding proteins
TIGR01001,71,Aspartate family,Amino acid biosynthesis
TIGR01002,94,Toxin production and resistance,Cellular processes
TIGR01003,700,PTS,Signal transduction
TIGR01004,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01005,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01006,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01007,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01008,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01009,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01010,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01011,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01012,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01013,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01015,109,Amino acids and amines,Energy metabolism
TIGR01016,120,TCA cycle,Energy metabolism
TIGR01017,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01018,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01019,120,TCA cycle,Energy metabolism
TIGR01020,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01021,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01022,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01023,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01024,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01025,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01026,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01027,73,Glutamate family,Amino acid biosynthesis
TIGR01028,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01029,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01030,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01031,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01032,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01033,261,DNA interactions,Regulatory functions
TIGR01034,102,Other,Central intermediary metabolism
TIGR01035,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01036,126,Pyrimidine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01038,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01039,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01040,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01041,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01042,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01043,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01044,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01046,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01047,104,Polyamine biosynthesis,Central intermediary metabolism
TIGR01048,71,Aspartate family,Amino acid biosynthesis
TIGR01049,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01050,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01051,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01052,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01054,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01055,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01056,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01057,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01058,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01059,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01060,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR01061,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01062,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01063,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01064,116,Glycolysis/gluconeogenesis,Energy metabolism
TIGR01066,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01067,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01068,112,Electron transport,Energy metabolism
TIGR01069,130,Other,DNA metabolism
TIGR01070,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01071,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01072,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01073,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01074,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01075,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01076,88,Other,Cell envelope
TIGR01076,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01077,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01078,109,Amino acids and amines,Energy metabolism
TIGR01079,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01080,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01081,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01082,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01083,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01084,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01085,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01086,119,Sugars,Energy metabolism
TIGR01087,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01088,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01089,119,Sugars,Energy metabolism
TIGR01090,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01091,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01092,73,Glutamate family,Amino acid biosynthesis
TIGR01093,70,Aromatic amino acid family,Amino acid biosynthesis
TIGR01096,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01097,143,Anions,Transport and binding proteins
TIGR01098,143,Anions,Transport and binding proteins
TIGR01099,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01100,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01101,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01102,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01102,187,Pathogenesis,Cellular processes
TIGR01103,188,Chemotaxis and motility,Cellular processes
TIGR01104,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01105,263,Protein interactions,Regulatory functions
TIGR01106,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01107,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01108,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01108,184,Other,Energy metabolism
TIGR01109,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01109,184,Other,Energy metabolism
TIGR01110,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01110,184,Other,Energy metabolism
TIGR01111,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01112,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01112,159,Methanogenesis,Energy metabolism
TIGR01113,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01113,159,Methanogenesis,Energy metabolism
TIGR01114,159,Methanogenesis,Energy metabolism
TIGR01115,112,Electron transport,Energy metabolism
TIGR01115,164,Photosynthesis,Energy metabolism
TIGR01116,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01117,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01117,114,Fermentation,Energy metabolism
TIGR01117,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01118,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR01119,105,Biosynthesis and degradation of polysaccharides,Energy metabolism
TIGR01120,117,Pentose phosphate pathway,Energy metabolism
TIGR01121,109,Amino acids and amines,Energy metabolism
TIGR01122,74,Pyruvate family,Amino acid biosynthesis
TIGR01123,74,Pyruvate family,Amino acid biosynthesis
TIGR01124,74,Pyruvate family,Amino acid biosynthesis
TIGR01125,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01126,95,Protein folding and stabilization,Protein fate
TIGR01127,74,Pyruvate family,Amino acid biosynthesis
TIGR01128,132,"DNA replication, recombination, and repair",DNA metabolism
TIGR01129,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01131,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01132,119,Sugars,Energy metabolism
TIGR01133,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01134,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01135,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01135,100,Amino sugars,Central intermediary metabolism
TIGR01136,75,Serine family,Amino acid biosynthesis
TIGR01137,75,Serine family,Amino acid biosynthesis
TIGR01138,75,Serine family,Amino acid biosynthesis
TIGR01139,75,Serine family,Amino acid biosynthesis
TIGR01140,79,"Heme, porphyrin, and cobalamin","Biosynthesis of cofactors, prosthetic groups, and carriers"
TIGR01141,161,Histidine family,Amino acid biosynthesis
TIGR01142,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01143,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01144,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01145,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01146,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01147,111,ATP-proton motive force interconversion,Energy metabolism
TIGR01148,184,Other,Energy metabolism
TIGR01149,184,Other,Energy metabolism
TIGR01150,112,Electron transport,Energy metabolism
TIGR01150,164,Photosynthesis,Energy metabolism
TIGR01151,112,Electron transport,Energy metabolism
TIGR01151,164,Photosynthesis,Energy metabolism
TIGR01152,112,Electron transport,Energy metabolism
TIGR01152,164,Photosynthesis,Energy metabolism
TIGR01153,112,Electron transport,Energy metabolism
TIGR01153,164,Photosynthesis,Energy metabolism
TIGR01156,112,Electron transport,Energy metabolism
TIGR01156,164,Photosynthesis,Energy metabolism
TIGR01157,112,Electron transport,Energy metabolism
TIGR01157,164,Photosynthesis,Energy metabolism
TIGR01158,169,Translation factors,Protein synthesis
TIGR01160,169,Translation factors,Protein synthesis
TIGR01161,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01162,125,Purine ribonucleotide biosynthesis,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01163,117,Pentose phosphate pathway,Energy metabolism
TIGR01164,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01165,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01166,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01167,88,Other,Cell envelope
TIGR01169,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01170,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01171,158,Ribosomal proteins: synthesis and modification,Protein synthesis
TIGR01172,75,Serine family,Amino acid biosynthesis
TIGR01173,89,Biosynthesis and degradation of murein sacculus and peptidoglycan,Cell envelope
TIGR01173,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01173,100,Amino sugars,Central intermediary metabolism
TIGR01174,93,Cell division,Cellular processes
TIGR01177,156,Conserved,Hypothetical proteins
TIGR01178,127,Salvage of nucleosides and nucleotides,"Purines, pyrimidines, nucleosides, and nucleotides"
TIGR01179,119,Sugars,Energy metabolism
TIGR01180,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01181,90,Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,Cell envelope
TIGR01182,73,Glutamate family,Amino acid biosynthesis
TIGR01182,113,Entner-Doudoroff,Energy metabolism
TIGR01183,143,Anions,Transport and binding proteins
TIGR01184,143,Anions,Transport and binding proteins
TIGR01184,147,Other,Transport and binding proteins
TIGR01185,147,Other,Transport and binding proteins
TIGR01186,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01187,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01188,147,Other,Transport and binding proteins
TIGR01189,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01189,147,Other,Transport and binding proteins
TIGR01190,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01190,147,Other,Transport and binding proteins
TIGR01191,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01191,147,Other,Transport and binding proteins
TIGR01192,144,"Carbohydrates, organic alcohols, and acids",Transport and binding proteins
TIGR01193,97,Protein and peptide secretion and trafficking,Protein fate
TIGR01193,140,Protein modification and repair,Protein fate
TIGR01193,147,Other,Transport and binding proteins
TIGR01194,142,"Amino acids, peptides and amines",Transport and binding proteins
TIGR01194,147,Other,Transport and binding proteins
TIGR01196,113,Entner-Doudoroff,Energy metabolism
TIGR01197,145,Cations and iron carrying compounds,Transport and binding proteins
TIGR01198,117,Pentose phosphate pathway,Energy metabolism
